N [LS],N [fnP],N [ME]
2,2,1
1,1,1
4,4,1
2,2,2
2,2,1
2,2,2
2,2,1
2,2,2
3,3,1
2,2,2
3,3,1
6,6,2
2,2,1
2,2,2
1,1,0.25
2,2,1
5,5,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,2
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,2
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,2
5,5,1
7,7,1
2,2,2
2,2,1
2,2,1
2,2,1
2,2,2
2,2,2
2,2,2
2,2,2
4,4,2
5,5,1
2,2,2
2,2,2
2,2,2
2,2,1
2,2,2
2,2,2
2,2,1
2,2,1
2,2,2
2,2,2
2,2,2
2,2,2
2,2,1
1,1,1
2,2,1
2,2,2
2,2,2
2,2,1
2,2,2
3,3,1
2,2,1
2,2,1
2,2,1
2,2,2
5,5,1
2,2,1
2,2,1
3,3,1
1,1,1
2,2,1
3,2,1
2,1,1
2,2,2
3,3,1
2,2,1
6,6,2
2,2,2
2,2,2
2,2,1
2,2,2
2,2,2
2,2,1
2,2,2
2,2,1
2,2,1
2,2,2
2,2,2
2,2,2
2,2,2
3,3,1
2,2,1
2,2,2
2,2,2
