Cefeida,RR_Lyrae,BinariaECL,t_C [ME],t_C [fnP],t_C [LS],t_R [ME],t_R [fnP],t_R [LS],t_E [ME],t_E [fnP],t_E [LS],N_E [ME],N_E [fnP],N_E [LS],gC_ME,fC_ME,gRR_ME ,fRR_ME ,gE_ME,fE_ME,columna X
0004,00573,00565,2.229598726,2.229723,2.2297007131992,0.3489944597,0.348994,0.348991984737264,0.9399160719,0.469953,0.469959211268216,1,2,2,1.2,1,1.047815072,0.5486899267,1.232865172,0.9528023601,0
0006,01074,01729,3.294602535,3.294603,3.29484096879178,0.5523590334,0.552358,0.552356052271817,0.797005148,0.797021,0.797013058488177,1,1,1,1.2,1,0.6527382606,0.4109237961,0.7766753476,0.4517072126,1
0019,01981,01947,1.929119519,1.92912,1.9291004138637,0.5533574966,0.553352,0.553354514726294,9.794812393,2.449031,2.44900712095125,1,4,4,1.2,1,1.04630005,0.6421545491,0.5505746421,0.3234940905,2
0034,02264,02079,11.25404372,11.257205,11.2539375107617,0.6271689593,0.627178,0.627165965453263,0.4059958177,0.405983,0.405983526241718,2,2,2,1.2,1,0.3004753273,0.2354354655,1.090188642,0.8323921254,3
0068,02615,02654,28.37732765,28.377328,28.3770841403147,0.4779600664,0.477948,0.477943864931713,21.94661179,5.489054,5.48824762342781,1,2,2,1.2,1,0.4558794188,0.4021122696,1.165534609,0.6802324715,4
0142,02871,02868,3.771753115,3.772463,3.77207108010941,0.571624557,0.57162,0.571621563686424,5.328322153,5.327613,5.32756033122839,2,2,2,1.2,1,0.5572006194,0.3441537784,0.7405290876,0.7096790057,5
0174,02889,03282,15.86452961,15.86453,15.8643835475179,0.6446206408,0.644631,0.644641897844726,3.073224994,1.536557,1.53654197647248,1,2,2,1.2,1,0.727568677,0.6318005958,0.6738272448,0.5449145148,6
0297,02896,03348,4.807272827,4.806696,4.80664939299823,0.4397891944,0.439778,0.43977512607013,2.880817581,2.880196,2.88016714353111,2,2,2,1.2,1,0.8694299784,0.4620297352,0.7744953705,0.5106889084,7
0309,03525,03657,0.7886007447,0.788616,0.788608406113417,0.5673866172,0.567403,0.567402405810259,1.53537864,0.511826,0.511827866554413,1,3,3,1.2,1,0.5301441928,0.5240190612,1.366118805,0.7627474492,8
0318,03968,03678,1.952234674,1.952235,1.9522153424381,0.4374995443,0.437493,0.43749676431449,4.433684975,4.435159,4.43511464398136,2,2,2,1.2,1,0.6527104067,0.406447534,0.7120693254,0.4676039951,9
0326,04413,03826,3.122869617,3.12287,3.12283887629765,0.5122054285,0.512204,0.512202492743725,2.668968243,0.889678,0.889669504580625,1,3,3,1.2,1,0.3915721069,0.4268432032,1.385923702,0.7983034067,10
0327,04626,03995,0.8821738988,0.882174,0.882184533059689,0.2846529369,0.284652,0.284655492245432,6.960803299,2.319478,2.3194552751203,2,6,6,1.2,1,0.5662327269,0.3450660161,0.8958001747,0.6801236592,11
0493,04779,04188,0.7088639431,0.708876,0.708869416760159,0.2651898538,0.265188,0.265187787980243,4.662985085,2.331365,2.33134225388403,1,2,2,1.2,1,0.9337608676,0.7025195834,0.8013464586,0.5611875752,12
0495,04979,04212,2.074392055,2.074392,2.07447889347019,0.5919757685,0.591981,0.591972768980317,1.01328779,1.013262,1.01327767762216,2,2,2,1.2,1,0.6437984714,0.3538752821,0.8258254693,0.5854282377,13
0503,05034,04458,0.4864368634,0.486437,0.486437914517654,0.3255711739,0.325572,0.325568801514995,158.8168778,39.711788,39.7508550494426,0.25,1,1,1.2,1,0.6733027409,0.43736294,0.8445050501,0.6151428891,14
